data_year,county_fips,county_name,disease_slug,case_count,is_suppressed,data_source
2024,36007,Broome,varicella,2,0,annual-report-pdf
2024,36007,Broome,vibriosis,1,0,annual-report-pdf
2024,36007,Broome,visa-staph,0,0,annual-report-pdf
2024,36007,Broome,west-nile-fever,0,0,annual-report-pdf
2024,36007,Broome,west-nile-virus,0,0,annual-report-pdf
2024,36007,Broome,yersiniosis,5,0,annual-report-pdf
2024,36009,Cattaraugus,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36009,Cattaraugus,amebiasis,0,0,annual-report-pdf
2024,36009,Cattaraugus,anaplasmosis,1,0,annual-report-pdf
2024,36009,Cattaraugus,babesiosis,3,0,annual-report-pdf
2024,36009,Cattaraugus,blastomycosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,botulism,0,0,annual-report-pdf
2024,36009,Cattaraugus,brucellosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,campylobacteriosis,10,0,annual-report-pdf
2024,36009,Cattaraugus,candida-auris,0,0,annual-report-pdf
2024,36009,Cattaraugus,chikungunya,0,0,annual-report-pdf
2024,36009,Cattaraugus,chlamydia,156,0,annual-report-pdf
2024,36009,Cattaraugus,cryptosporidiosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,cyclosporiasis,0,0,annual-report-pdf
2024,36009,Cattaraugus,dengue-fever,0,0,annual-report-pdf
2024,36009,Cattaraugus,diphtheria,0,0,annual-report-pdf
2024,36009,Cattaraugus,e-coli-stec,2,0,annual-report-pdf
2024,36009,Cattaraugus,ehrlichiosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,giardiasis,2,0,annual-report-pdf
2024,36009,Cattaraugus,gonorrhea,31,0,annual-report-pdf
2024,36009,Cattaraugus,haemophilus-influenzae,3,0,annual-report-pdf
2024,36009,Cattaraugus,hemolytic-uremic-syndrome,0,0,annual-report-pdf
2024,36009,Cattaraugus,hepatitis-a,0,0,annual-report-pdf
2024,36009,Cattaraugus,hepatitis-b-acute,0,0,annual-report-pdf
2024,36009,Cattaraugus,hepatitis-b-chronic,5,0,annual-report-pdf
2024,36009,Cattaraugus,hepatitis-c-acute,0,0,annual-report-pdf
2024,36009,Cattaraugus,hepatitis-c-chronic,25,0,annual-report-pdf
2024,36009,Cattaraugus,influenza,492,0,annual-report-pdf
2024,36009,Cattaraugus,legionellosis,2,0,annual-report-pdf
2024,36009,Cattaraugus,listeriosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,lyme-disease,131,0,annual-report-pdf
2024,36009,Cattaraugus,malaria,0,0,annual-report-pdf
2024,36009,Cattaraugus,measles,0,0,annual-report-pdf
2024,36009,Cattaraugus,meningitis-aseptic,0,0,annual-report-pdf
2024,36009,Cattaraugus,meningitis-bacterial,0,0,annual-report-pdf
2024,36009,Cattaraugus,meningococcal,0,0,annual-report-pdf
2024,36009,Cattaraugus,mumps,0,0,annual-report-pdf
2024,36009,Cattaraugus,neonatal-herpes,0,0,annual-report-pdf
2024,36009,Cattaraugus,pertussis,12,0,annual-report-pdf
2024,36009,Cattaraugus,q-fever,0,0,annual-report-pdf
2024,36009,Cattaraugus,rocky-mountain-spotted-fever,0,0,annual-report-pdf
2024,36009,Cattaraugus,rsv,155,0,annual-report-pdf
2024,36009,Cattaraugus,salmonellosis,8,0,annual-report-pdf
2024,36009,Cattaraugus,shigellosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,strep-a-invasive,7,0,annual-report-pdf
2024,36009,Cattaraugus,strep-b-invasive,5,0,annual-report-pdf
2024,36009,Cattaraugus,strep-pneumo-invasive,11,0,annual-report-pdf
2024,36009,Cattaraugus,syphilis-early,5,0,annual-report-pdf
2024,36009,Cattaraugus,syphilis-late,2,0,annual-report-pdf
2024,36009,Cattaraugus,tetanus,0,0,annual-report-pdf
2024,36009,Cattaraugus,toxic-shock-syndrome,0,0,annual-report-pdf
2024,36009,Cattaraugus,tuberculosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,tularemia,0,0,annual-report-pdf
2024,36009,Cattaraugus,typhoid-fever,0,0,annual-report-pdf
2024,36009,Cattaraugus,varicella,0,0,annual-report-pdf
2024,36009,Cattaraugus,vibriosis,0,0,annual-report-pdf
2024,36009,Cattaraugus,visa-staph,0,0,annual-report-pdf
2024,36009,Cattaraugus,west-nile-fever,0,0,annual-report-pdf
2024,36009,Cattaraugus,west-nile-virus,0,0,annual-report-pdf
2024,36009,Cattaraugus,yersiniosis,2,0,annual-report-pdf
2024,36011,Cayuga,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36011,Cayuga,amebiasis,0,0,annual-report-pdf
2024,36011,Cayuga,anaplasmosis,12,0,annual-report-pdf
2024,36011,Cayuga,babesiosis,1,0,annual-report-pdf
2024,36011,Cayuga,blastomycosis,0,0,annual-report-pdf
2024,36011,Cayuga,botulism,0,0,annual-report-pdf
2024,36011,Cayuga,brucellosis,0,0,annual-report-pdf
2024,36011,Cayuga,campylobacteriosis,32,0,annual-report-pdf
2024,36011,Cayuga,candida-auris,0,0,annual-report-pdf
2024,36011,Cayuga,chikungunya,0,0,annual-report-pdf
2024,36011,Cayuga,chlamydia,190,0,annual-report-pdf
2024,36011,Cayuga,cryptosporidiosis,4,0,annual-report-pdf
2024,36011,Cayuga,cyclosporiasis,0,0,annual-report-pdf
2024,36011,Cayuga,dengue-fever,1,0,annual-report-pdf
2024,36011,Cayuga,diphtheria,0,0,annual-report-pdf
2024,36011,Cayuga,e-coli-stec,8,0,annual-report-pdf
2024,36011,Cayuga,ehrlichiosis,0,0,annual-report-pdf
2024,36011,Cayuga,giardiasis,5,0,annual-report-pdf
2024,36011,Cayuga,gonorrhea,52,0,annual-report-pdf
2024,36011,Cayuga,haemophilus-influenzae,3,0,annual-report-pdf
2024,36011,Cayuga,hemolytic-uremic-syndrome,0,0,annual-report-pdf
2024,36011,Cayuga,hepatitis-a,0,0,annual-report-pdf
2024,36011,Cayuga,hepatitis-b-acute,0,0,annual-report-pdf
2024,36011,Cayuga,hepatitis-b-chronic,7,0,annual-report-pdf
2024,36011,Cayuga,hepatitis-c-acute,3,0,annual-report-pdf
2024,36011,Cayuga,hepatitis-c-chronic,16,0,annual-report-pdf
2024,36011,Cayuga,influenza,757,0,annual-report-pdf
2024,36011,Cayuga,legionellosis,1,0,annual-report-pdf
2024,36011,Cayuga,listeriosis,1,0,annual-report-pdf
2024,36011,Cayuga,lyme-disease,125,0,annual-report-pdf
2024,36011,Cayuga,malaria,0,0,annual-report-pdf
2024,36011,Cayuga,measles,0,0,annual-report-pdf
2024,36011,Cayuga,meningitis-aseptic,5,0,annual-report-pdf
2024,36011,Cayuga,meningitis-bacterial,0,0,annual-report-pdf
2024,36011,Cayuga,meningococcal,0,0,annual-report-pdf
2024,36011,Cayuga,mumps,0,0,annual-report-pdf
2024,36011,Cayuga,neonatal-herpes,0,0,annual-report-pdf
2024,36011,Cayuga,pertussis,6,0,annual-report-pdf
2024,36011,Cayuga,q-fever,0,0,annual-report-pdf
2024,36011,Cayuga,rocky-mountain-spotted-fever,0,0,annual-report-pdf
2024,36011,Cayuga,rsv,221,0,annual-report-pdf
2024,36011,Cayuga,salmonellosis,12,0,annual-report-pdf
2024,36011,Cayuga,shigellosis,4,0,annual-report-pdf
2024,36011,Cayuga,strep-a-invasive,7,0,annual-report-pdf
2024,36011,Cayuga,strep-b-invasive,7,0,annual-report-pdf
2024,36011,Cayuga,strep-pneumo-invasive,8,0,annual-report-pdf
2024,36011,Cayuga,syphilis-early,13,0,annual-report-pdf
2024,36011,Cayuga,syphilis-late,12,0,annual-report-pdf
2024,36011,Cayuga,tetanus,0,0,annual-report-pdf
2024,36011,Cayuga,toxic-shock-syndrome,0,0,annual-report-pdf
2024,36011,Cayuga,tuberculosis,1,0,annual-report-pdf
2024,36011,Cayuga,tularemia,0,0,annual-report-pdf
